"","id","country","year","referendum","protestfinal","ethfrac","lang","relig","win","gwf","protest_cnts","sample_geddes","psyhint","infl","efw","gini","turnout","country_name","type","boycottopp","nelda_index","neldaindex","pop","gwf1","phat","ethfrac1","new_nelda","gwf2"
"93",15,"Armenia",2003,1,0,0.12720000743866,0.129099994897842,0.457599997520447,1,"personal",0,1,6,4.72154998779297,18.5799999237061,33.7999992370605,45.7299995422363,4,0,0,1,-0.616713464260101,3036032,6,0.311437249183655,1,0.26322340965271,1
"94",158,"Kenya",2002,0,0,0.858799993991852,0.885999977588654,0.77649998664856,0,"party-based",1,1,2,1.96131002902985,25.1000003814697,42.5099983215332,57.1800003051758,35,0,0,1,-0.616713464260101,33000524,2,0.135978117585182,3,0.26322340965271,2
"95",56,"Chad",2002,0,0,0.861999988555908,0.863499999046326,0.641099989414215,1,"personal",0,1,4,5.19182014465332,17,39.7799987792969,52.4000015258789,12,0,0,NA,NA,8959964,6,0.311437249183655,3,NA,1
"96",139,"Indonesia",1992,0,0,0.735099971294403,0.76800000667572,0.233999997377396,1,"party-personal-military",0,1,0,7.52574014663696,20.7000007629395,29.3099994659424,90.9000015258789,31,0,0,0,-1.93558049201965,184916848,5,0.359868705272675,3,1.59274138322729e-09,NA
"97",242,"Senegal",1998,0,0,0.693899989128113,0.696099996566772,0.149700000882149,1,"party-based",0,1,1,1.15678000450134,20.6599998474121,NA,39.2799987792969,54,0,0,0,-1.93558049201965,9387783,2,0.135978117585182,2,1.59274138322729e-09,2
"98",154,"Kazakhstan",2011,0,0,0.61710000038147,0.66210001707077,0.589800000190735,1,"personal",3,1,NA,8.34856986999512,22.2700004577637,29.0400009155273,89.9899978637695,34,1,0,NA,NA,16556600,6,0.311437249183655,2,NA,1
"99",54,"Central African Republic",2011,0,0,0.829500019550323,0.833400011062622,0.791599988937378,1,"personal",0,1,NA,1.30057001113892,32.060001373291,56.2999992370605,NA,11,0,0,NA,NA,4436217,6,0.311437249183655,3,NA,1
"100",71,"Democratic Republic of Congo",2011,0,0,0.874700009822845,0.870500028133392,0.702099978923798,1,"personal",1,1,NA,NA,32.4199981689453,44.4300003051758,58.810001373291,15,0,0,NA,NA,63931512,6,0.311437249183655,3,NA,1
"101",222,"Republic of the Congo",2002,1,1,0.874700009822845,0.687099993228912,0.664200007915497,1,"personal",0,1,2,4.37875986099243,38.5999984741211,47.3199996948242,NA,50,0,0,3,1.64497518539429,3283719,6,0.311437249183655,3,0.714617967605591,1
"102",241,"Senegal",1993,0,0,0.693899989128113,0.696099996566772,0.149700000882149,1,"party-based",1,1,3,-0.58643501996994,21.9400005340576,41.439998626709,51.5,54,1,0,1,-0.738430142402649,8234586,2,0.135978117585182,2,0.238930836319923,2
"103",170,"Malaysia",1995,0,0,0.587999999523163,0.597000002861023,0.665700018405914,1,"party-based",0,1,5,3.45057988166809,28.3999996185303,48.5200004577637,68.3000030517578,38,0,0,0,-1.93558049201965,20725374,2,0.135978117585182,2,1.59274138322729e-09,2
"104",104,"Gabon",2001,0,0,0.768999993801117,0.782100021839142,0.667400002479553,1,"party-personal",0,1,6,2.137619972229,18.4200000762939,41.4500007629395,NA,23,0,0,3,1.64497518539429,1255299,4,0.575099050998688,3,0.714617967605591,NA
"105",320,"Zambia",2008,0,1,0.780799984931946,0.873399972915649,0.735899984836578,1,"party-based",0,1,4,NA,17.6700000762939,57.4900016784668,45.4300003051758,70,1,0,0,-1.93558049201965,12456527,2,0.135978117585182,3,1.59274138322729e-09,2
"106",14,"Armenia",2003,1,1,0.12720000743866,0.129099994897842,0.457599997520447,1,"personal",0,1,6,4.72154998779297,18.5799999237061,33.7999992370605,67.0400009155273,4,1,0,1,-0.616713464260101,3036032,6,0.311437249183655,1,0.26322340965271,1
