"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"246","Fairly bad","Male","0","1",6,1,6,9,2,9,9
"247","Very good","Male","1","2",5,1,5,9,2,8,10
"248","Very good","Female","1","2",6,2,6,9,2,6,9
"249","Fairly good","Male","1","2",6,6,5,7,2,8,7
"250","Very bad","Male","1","2",NA,2,2,4,NA,8,8
"251","Fairly good","Female","0","2",NA,1,4,9,2,9,10
"252","Very bad","Male","0","2",6,5,6,9,1,9,8
"253","Fairly good","Male","1","2",6,6,10,8,1,9,10
"254","Fairly good","Female","0","2",10,10,10,10,1,10,10
"255",NA,"Male","0","2",8,NA,10,10,1,NA,NA
"256",NA,"Female","1","3",7,6,7,8,1,8,10
"257",NA,"Male","0","2",10,6,10,10,1,10,10
"258","Fairly good","Male","0","2",NA,6,1,8,NA,2,4
"259","Fairly bad","Male","0","2",1,1,1,9,4,4,1
"260","Very good","Female","1","2",7,3,5,8,1,9,9
"261","Very good","Female","0","1",8,3,7,8,1,10,9
"262","Fairly good","Male","1","2",9,2,7,8,2,10,8
"263","Fairly good","Female","0","2",7,1,7,7,2,9,9
"264","Very good","Male","0","2",4,2,6,6,2,9,8
"265","Fairly good","Female","1","2",6,5,5,5,3,4,9
"266","Fairly good","Female","1","2",6,6,8,5,1,7,4
"267",NA,"Female","0","1",5,1,1,NA,3,5,10
"268","Fairly good","Male","0","2",2,6,4,5,1,6,5
"269","Very bad","Female","0","2",10,4,10,10,1,10,10
"270",NA,"Female","1","2",6,5,10,10,1,10,10
"271",NA,"Female","0","2",10,6,10,10,1,10,10
"272",NA,"Male","1","2",10,5,10,4,1,10,10
"273","Very bad","Female","1","2",5,6,10,10,1,10,10
"274",NA,"Female","1","2",5,1,10,10,1,10,10
"275",NA,"Female","0","2",6,4,8,9,1,9,6
"276",NA,"Male","0","2",8,5,9,8,1,9,10
"277",NA,"Female","0","2",6,4,10,10,1,10,10
"278","Fairly bad","Female","0","2",NA,3,8,8,2,10,10
"279","Very good","Male","0","1",3,7,10,10,1,10,10
"280","Fairly bad","Female","1","2",8,NA,NA,NA,2,10,10
"281","Very good","Female","1","3",10,4,1,7,1,10,10
